country,confirmed,death,Recovered_sum,Active_sum
Nicaragua,5514,156,4225,1133
Niger,1225,69,1142,14
Nigeria,63328,1155,59675,2498
North Macedonia,35097,1071,22024,12002
Norway,22578,282,11863,10433
Oman,116847,1275,106903,8669
Pakistan,338875,6893,316665,15317
Panama,136024,2744,114207,19073
Papua New Guinea,597,7,580,10
Paraguay,65258,1454,45123,18681
Peru,911787,34671,832929,44187
Philippines,388137,7367,349091,31679
Poland,439536,6475,168960,264101
Portugal,156940,2694,88946,65300
Qatar,133370,232,130414,2724
Romania,267088,7419,186260,73409
Russia,1680579,28996,1259194,392389
Rwanda,5174,35,4930,209
Saint Kitts and Nevis,19,0,19,0
Saint Lucia,105,0,32,73
Saint Vincent and the Grenadines,75,0,71,4
San Marino,994,42,730,222
Sao Tome and Principe,958,16,907,35
Saudi Arabia,348936,5471,335594,7871
Senegal,15650,326,15245,79
Serbia,53495,850,0,52645
Seychelles,157,0,151,6
Sierra Leone,2369,74,1805,490
Singapore,58036,28,57938,70
Slovakia,66772,261,15474,51037
Slovenia,39408,441,15550,23417
Solomon Islands,13,0,4,9
Somalia,4229,107,3247,875
South Africa,730548,19585,660185,50778
South Sudan,2943,59,1290,1594
Spain,1284408,38118,150376,1095914
Sri Lanka,12187,24,5858,6305
Sudan,13943,837,6764,6342
Suriname,5220,112,5090,18
Sweden,137730,5997,0,131733
Switzerland,192376,2555,87100,102721
Syria,5964,301,2143,3520
Taiwan*,568,7,521,40
Tajikistan,11180,83,10438,659
Tanzania,509,21,183,305
Thailand,3810,59,3623,128
Timor-Leste,30,0,29,1
Togo,2406,57,1699,650
Trinidad and Tobago,5764,110,4993,661
Tunisia,64363,1512,5032,57819
Turkey,384509,10558,330665,43286
Uganda,13351,117,7623,5611
Ukraine,433492,7952,184141,241399
United Arab Emirates,137310,505,134983,1822
United Kingdom,1102305,47832,2925,1051548
Uruguay,3245,61,2770,414
US,9547694,234401,3743527,5508204
Uzbekistan,67779,577,65001,2201
Venezuela,93480,814,88326,4340
Vietnam,1203,35,1069,99
West Bank and Gaza,56090,504,48224,7362
Western Sahara,10,1,8,1
Yemen,2063,601,1375,87
Zambia,16698,349,15819,530
Zimbabwe,8427,248,7967,212
